Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Agar Agar ;;Gelier- und Bindemittel ;Verschiedenes;pro 100g essbarer Anteil;641;160;0.2;k.A.;k.A.;k.A.;k.A.;0;k.A.;k.A.;74.1;2.4;0.3;k.A.;20.5;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;52;130;k.A.;660;100;34;4.5;k.A.;1.5;k.A.;ja;ja;ja;ja
Agavensirup Agavendicksaft ;;Zucker und Süssstoffe;Verschiedenes;pro 100g essbarer Anteil;1240;293;0;0;k.A.;k.A.;k.A.;73.1;k.A.;k.A.;0;0.2;0;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;4;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;ja;ja;ja;ja
Ahornsirup ;;Zucker und Süssstoffe;Verschiedenes;pro 100 ml;1520;358;0.3;0;0.1;0.1;0;88.7;77.3;0;0;0;0;0;42.4;0;0;0;0;0;0.02;0.97;0;0;0.22;0;0.05;0;0;0;280;15;55;96;30;2.6;0.1;0;2.6;0.8;ja;ja;ja;ja
Alge;Nori, getrocknet Algenblatter;Gemüse getrockent ;Gemüse ;pro 100g essbarer Anteil;1060;255;1.6;0.2;0.1;0.6;0;10.5;0.5;k.A.;36.3;31.5;5;0;6.5;4167;2083;0;25000;25000;0.58;1.91;0.53;k.A.;5.82;21.7;0.25;57.3;0.6;2.87;1730;1980;2970;320;490;520;37;5100;4.5;51;ja;ja;ja;ja
Älplermagronen;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;753;180;9;5.3;2.1;0.5;26;17.9;1.4;16.3;1.7;6;1.1;0;65.6;82;79;77;31;31;0.04;0.09;0.08;0.22;0.7;9.3;0.25;5;0.2;0.2;160;440;690;120;20;120;0.4;6.6;0.8;k.A.;ja/nein;nein;nein;nein
Amaranth;Samen, gekocht (ohne Zugabe von Fett und Salz) ;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;500;119;2.1;0.4;0.5;0.8;0;18.1;0.5;17.6;3.5;5;0;0;71.2;0;0;0;0;0;0.02;0.06;0.11;0;0.34;16.2;0.27;1;0;0.4;150;1.9;36;58;84;180;3;0.8;1.2;k.A.;ja;ja;ja;ja
Amaranth;Samen, roh ;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;1580;376;7;1.5;1.7;2.8;0;56.8;1.7;55.1;11;15.8;0;0;11.1;0;0;0;0;0;0.08;0.19;0.53;0;1.2;64.3;0.95;4.2;0;1.19;480;4;110;160;250;560;9;2.5;3.7;k.A.;ja;ja;ja;ja
Amaretti (Mandelgebäck) ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1950;464;13;1;7.8;2.8;0;76.7;76.4;0.1;2.6;8.8;0.1;0;0;0;0;0;0;0;0.04;0.31;0.04;0.07;0.48;15;0.17;0.1;0;6.74;220;42;47;69;62;130;0.9;1.7;0.8;3.2;ja;nein ;ja;nein
Amaretti (Mandelgebäck) ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1950;464;13;1;7.8;2.8;0;76.7;76.4;0.1;2.6;8.8;0.1;0;0;0;0;0;0;0;0.04;0.31;0.04;0.07;0.48;15;0.17;0.1;0;6.74;220;42;47;69;62;130;0.9;1.7;0.8;3.2;ja;nein ;ja;nein
Ananas;in Ananassaft, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;255;60;0.1;Sp.;Sp.;Sp.;0;13.6;12.8;0;1.4;0.5;0;0;84.5;0;0;0;k.A.;24;0.06;Sp.;0.08;0;0.2;5;0.07;5;0;0.02;130;Sp.;18;11;12;7.8;0.2;0.3;0.1;0.1;ja;ja;ja;ja
